requested_n_clusters,law,effective_n_clusters,was_clamped,n_train_queries,n_train_core,n_val,n_test_queries,train_time_seconds,soft_cos_mean,soft_cos_p10,soft_cos_p50,soft_cos_p90,soft_mse,soft_r2_overall
100,UrlG,100,False,476,452,24,59,5.0645201206207275,0.9418531060218811,0.907189404964447,0.9465952515602112,0.9723838806152344,0.00011011444439645857,0.8871673403682456
100,VKG,100,False,476,452,24,59,5.0623619556427,0.9585720896720886,0.9403499126434326,0.9585084915161133,0.9775678873062134,7.922333315946162e-05,0.918820614624307
100,VStG,100,False,476,452,24,59,5.053712844848633,0.9505372047424316,0.931588613986969,0.9505581855773926,0.9744993567466735,9.417930414201692e-05,0.9034928131529766
100,VbVG,100,False,476,452,24,59,5.067704200744629,0.940680742263794,0.9079262852668762,0.94428950548172,0.9644319772720337,0.0001123245747294277,0.8848997173027501
100,VerG,100,False,476,452,24,59,5.062633991241455,0.9395174980163574,0.9177707076072693,0.9377666711807251,0.9667615175247193,0.0001145653150160797,0.8826048601306347
100,VersG,100,False,476,452,24,59,5.061578989028931,0.9303061366081238,0.9041787505149841,0.9306690692901611,0.961466372013092,0.0001314012915827334,0.8653558841662186
100,VersVG,100,False,476,452,24,59,5.067943096160889,0.9366860389709473,0.9087311387062073,0.9368947148323059,0.9622283697128297,0.00011980738781858236,0.8772346449047175
100,VfGG,100,False,476,452,24,59,5.064429998397827,0.9390867948532104,0.90868581533432,0.9417809844017029,0.968371045589447,0.00011513615754665807,0.8820197007044691
100,VwGG,100,False,476,452,24,59,5.20544695854187,0.9430862665176392,0.9171996951103211,0.9409090876579285,0.9709579229354859,0.0001082013695850037,0.8891240922336721
100,VwGVG,100,False,476,452,24,59,5.090963125228882,0.9534352421760559,0.9234158396720886,0.9568043351173401,0.9758032083511353,8.868833538144827e-05,0.9091206153991879
100,WEG,100,False,476,452,24,59,5.0848822593688965,0.945232629776001,0.9182737946510315,0.9472132325172424,0.9671875715255738,0.00010399908933322877,0.893430312223362
100,WGG,100,False,476,452,24,59,5.081336975097656,0.9417051672935486,0.9102916240692138,0.9450855255126953,0.9722552537918091,0.0001105809715227224,0.8866876449201426
100,WRG,100,False,476,452,24,59,5.096905946731567,0.9402677416801453,0.9092864513397216,0.9424228072166443,0.9708282589912415,0.0001130252712755464,0.8841820528509583
100,WaffG,100,False,476,452,24,59,5.094866037368774,0.9387145638465881,0.9084078073501587,0.9377772808074951,0.9678977489471435,0.0001157243168563582,0.8814185673782974
100,ZPO,100,False,476,452,24,59,5.119025230407715,0.9414416551589966,0.9159276723861695,0.9472326040267944,0.9664516687393189,0.00011092704517068341,0.8863300303923796
100,ZustG,100,False,476,452,24,59,5.117984056472778,0.9431403279304504,0.914386534690857,0.9453216195106506,0.9689702153205871,0.00010776601993711665,0.8895732294346302
200,ABGB,200,False,477,453,24,60,11.153333902359009,0.9437792301177979,0.9075916349887848,0.9501185715198517,0.9739177882671356,0.00010638975072652102,0.8909854023886132
200,APG,200,False,477,453,24,60,10.758820056915283,0.951421320438385,0.9248179912567138,0.9508724510669708,0.9788738548755646,9.254910401068628e-05,0.9051641607233394
200,ASVG,200,False,477,453,24,60,10.670459985733032,0.9496504068374634,0.9243051886558533,0.9512251913547516,0.977036714553833,9.584955842001364e-05,0.9017846577285598
200,AVG,200,False,477,453,24,60,10.515199184417725,0.9570717215538025,0.9300741314888,0.9579063653945923,0.984871119260788,8.202622848330066e-05,0.9159468506652232
200,AVRAG,200,False,477,453,24,60,11.307401895523071,0.9579018950462341,0.9339798212051391,0.9582419395446777,0.9847954571247101,8.042170520639047e-05,0.9175927247241819
200,AWG,200,False,477,453,24,60,10.592222929000854,0.9518406987190247,0.9176948428153991,0.9507238864898682,0.9850954174995422,9.15333439479582e-05,0.9062053233976037
200,AZG,200,False,477,453,24,60,10.336281061172485,0.9519606232643127,0.9320023596286774,0.9533064067363739,0.9747386813163758,9.15239579626359e-05,0.906216795904907
200,AktG,200,False,477,453,24,60,10.267857074737549,0.9523494839668274,0.9221713960170745,0.9519543051719666,0.9803380072116852,9.079395385924727e-05,0.9069635212315124
200,AlVG,200,False,477,453,24,60,10.247386932373047,0.952511727809906,0.9160019338130951,0.9525201320648193,0.9835799098014831,9.039058204507455e-05,0.9073771441953755
200,AngG,200,False,477,453,24,60,10.211702108383179,0.9521300792694092,0.9139357805252075,0.9561112523078918,0.9794834971427917,9.109881648328155e-05,0.906651469302614
200,ArbVG,200,False,477,453,24,60,10.210176706314087,0.9493366479873657,0.9081044316291809,0.9522033929824829,0.9787875711917877,9.62789126788266e-05,0.9013451649166828
200,AsylG,200,False,477,453,24,60,10.245380878448486,0.9532927870750427,0.9281197905540466,0.9556058645248413,0.9784721493721008,8.918197272578254e-05,0.9086156699232999
200,AußStrG,200,False,477,453,24,60,10.207641124725342,0.9588506817817688,0.9322172105312347,0.9592589437961578,0.9851925551891327,7.864470535423607e-05,0.9194126107084271
200,AÜG,200,False,477,453,24,60,10.20532488822937,0.948247492313385,0.9147399723529815,0.9481880962848663,0.9776033282279968,9.818561375141144e-05,0.899389500228465
200,B-VG,200,False,477,453,24,60,10.212879180908203,0.9457896947860718,0.9136967957019806,0.9462508857250214,0.9773085534572601,0.00010293871309841052,0.8945189750104594
200,BAO,200,False,477,453,24,60,10.548213005065918,0.9532720446586609,0.9251918435096741,0.9561900198459625,0.9817858755588531,8.885828719940037e-05,0.9089477752448079
200,BEinstG,200,False,476,452,24,60,10.201905965805054,0.9463852047920227,0.9126071929931641,0.94825080037117,0.9807933509349823,0.00010160442616324872,0.8958874693459004
200,BWG,200,False,476,452,24,60,10.185795783996582,0.9484409689903259,0.9210254788398743,0.9519906640052795,0.9832600474357605,9.788373426999897e-05,0.8996991935614193
200,DSG,200,False,476,452,24,60,10.192484855651855,0.9540097117424011,0.923916119337082,0.9582587480545044,0.9804595649242401,8.765794336795807e-05,0.9101785721215812
200,DSGVO,200,False,476,452,24,60,10.175338983535767,0.9523809552192688,0.9160086393356324,0.9553214609622955,0.9847743511199951,9.06561326701194e-05,0.9071081141433522
200,ECG,200,False,476,452,24,60,10.205660343170166,0.9509918689727783,0.9286300539970398,0.9496333003044128,0.9812944769859314,9.319197124568745e-05,0.9045097212662525
200,EKHG,200,False,476,452,24,60,10.447680950164795,0.9593285322189331,0.9348345816135406,0.9613989293575287,0.9842632353305817,7.773745892336592e-05,0.9203418336230478
200,EO,200,False,476,452,24,60,10.387850999832153,0.9527130126953125,0.9211809039115906,0.9574255347251892,0.9763978123664856,9.007514017866924e-05,0.9077005044541346
200,EStG,200,False,476,452,24,60,10.262487173080444,0.9547206163406372,0.9230053067207337,0.9579666256904602,0.9839884579181671,8.62607776070945e-05,0.9116090144066287
200,EheG,200,False,476,452,24,60,10.290628910064697,0.9581353664398193,0.9339635372161865,0.9582491517066956,0.9844548046588898,7.989207369973883e-05,0.9181328843707172
200,ElWOG,200,False,476,452,24,60,10.245562076568604,0.9528494477272034,0.9293752491474152,0.9537313878536224,0.9855661809444427,8.97589634405449e-05,0.9080254130610127
200,FAGG,200,False,476,452,24,60,10.266175985336304,0.9553287029266357,0.9295347213745118,0.959193229675293,0.9808384895324707,8.516419620718807e-05,0.9127336740985836
200,FPG,200,False,476,452,24,60,10.249504089355469,0.9482839107513428,0.9102498829364777,0.9521204829216003,0.9835234940052032,9.829407645156607e-05,0.8992780537265361
200,FSG,200,False,476,452,24,60,10.236132860183716,0.946546196937561,0.9118524491786957,0.9463243782520294,0.9788446843624115,0.00010139607911696658,0.8961002642190301
200,FinStrG,200,False,476,452,24,60,10.2585289478302,0.954156756401062,0.9190998077392578,0.9618945419788361,0.9817810177803039,8.727160457056016e-05,0.910572309619176
200,GSVG,200,False,476,452,24,60,10.2918062210083,0.955242395401001,0.9284327745437622,0.9557649493217468,0.9827705323696136,8.546371100237593e-05,0.9124266006460569
200,GewO,200,False,476,452,24,60,10.254424810409546,0.9514026641845703,0.9170572876930236,0.9589380919933319,0.9725187718868256,9.26352440728806e-05,0.9050772878327126
200,GlBG,200,False,476,452,24,60,10.243735790252686,0.9530543684959412,0.924263721704483,0.9555372297763824,0.976881992816925,8.940592670114711e-05,0.9083891132427431
